fault_type,baseline_id,count,failure_count,original_success_count,recovered_count,harmful_count,abstained_count,recovery_rate,harm_rate,abstention_rate,seed_count,seeds,task_ids,run_ids
clean_success,oracle,3,0,3,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-extended-clean_success-seed-0', 'local-flight-extended-clean_success-seed-1', 'local-flight-extended-clean_success-seed-2']","['local-flight-extended-clean_success-0', 'local-flight-extended-clean_success-1', 'local-flight-extended-clean_success-2']"
clean_success,raw,3,0,3,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-extended-clean_success-seed-0', 'local-flight-extended-clean_success-seed-1', 'local-flight-extended-clean_success-seed-2']","['local-flight-extended-clean_success-0', 'local-flight-extended-clean_success-1', 'local-flight-extended-clean_success-2']"
clean_success,recovery,3,0,3,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-extended-clean_success-seed-0', 'local-flight-extended-clean_success-seed-1', 'local-flight-extended-clean_success-seed-2']","['local-flight-extended-clean_success-0', 'local-flight-extended-clean_success-1', 'local-flight-extended-clean_success-2']"
drop_confirm,oracle,3,3,0,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-extended-drop_confirm-seed-0', 'local-flight-extended-drop_confirm-seed-1', 'local-flight-extended-drop_confirm-seed-2']","['local-flight-extended-drop_confirm-0', 'local-flight-extended-drop_confirm-1', 'local-flight-extended-drop_confirm-2']"
drop_confirm,raw,3,3,0,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-extended-drop_confirm-seed-0', 'local-flight-extended-drop_confirm-seed-1', 'local-flight-extended-drop_confirm-seed-2']","['local-flight-extended-drop_confirm-0', 'local-flight-extended-drop_confirm-1', 'local-flight-extended-drop_confirm-2']"
drop_confirm,recovery,3,3,0,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-extended-drop_confirm-seed-0', 'local-flight-extended-drop_confirm-seed-1', 'local-flight-extended-drop_confirm-seed-2']","['local-flight-extended-drop_confirm-0', 'local-flight-extended-drop_confirm-1', 'local-flight-extended-drop_confirm-2']"
force_error_confirm,oracle,3,3,0,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-extended-force_error_confirm-seed-0', 'local-flight-extended-force_error_confirm-seed-1', 'local-flight-extended-force_error_confirm-seed-2']","['local-flight-extended-force_error_confirm-0', 'local-flight-extended-force_error_confirm-1', 'local-flight-extended-force_error_confirm-2']"
force_error_confirm,raw,3,3,0,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-extended-force_error_confirm-seed-0', 'local-flight-extended-force_error_confirm-seed-1', 'local-flight-extended-force_error_confirm-seed-2']","['local-flight-extended-force_error_confirm-0', 'local-flight-extended-force_error_confirm-1', 'local-flight-extended-force_error_confirm-2']"
force_error_confirm,recovery,3,3,0,3,0,0,1.0,0.0,0.0,3,"[0, 1, 2]","['local-flight-extended-force_error_confirm-seed-0', 'local-flight-extended-force_error_confirm-seed-1', 'local-flight-extended-force_error_confirm-seed-2']","['local-flight-extended-force_error_confirm-0', 'local-flight-extended-force_error_confirm-1', 'local-flight-extended-force_error_confirm-2']"
missing_confirmation,oracle,3,3,0,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-extended-missing_confirmation-seed-0', 'local-flight-extended-missing_confirmation-seed-1', 'local-flight-extended-missing_confirmation-seed-2']","['local-flight-extended-missing_confirmation-0', 'local-flight-extended-missing_confirmation-1', 'local-flight-extended-missing_confirmation-2']"
missing_confirmation,raw,3,3,0,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-extended-missing_confirmation-seed-0', 'local-flight-extended-missing_confirmation-seed-1', 'local-flight-extended-missing_confirmation-seed-2']","['local-flight-extended-missing_confirmation-0', 'local-flight-extended-missing_confirmation-1', 'local-flight-extended-missing_confirmation-2']"
missing_confirmation,recovery,3,3,0,0,0,0,0.0,0.0,0.0,3,"[0, 1, 2]","['local-flight-extended-missing_confirmation-seed-0', 'local-flight-extended-missing_confirmation-seed-1', 'local-flight-extended-missing_confirmation-seed-2']","['local-flight-extended-missing_confirmation-0', 'local-flight-extended-missing_confirmation-1', 'local-flight-extended-missing_confirmation-2']"
non_refundable,oracle,3,0,3,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-extended-non_refundable-seed-0', 'local-flight-extended-non_refundable-seed-1', 'local-flight-extended-non_refundable-seed-2']","['local-flight-extended-non_refundable-0', 'local-flight-extended-non_refundable-1', 'local-flight-extended-non_refundable-2']"
non_refundable,raw,3,0,3,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-extended-non_refundable-seed-0', 'local-flight-extended-non_refundable-seed-1', 'local-flight-extended-non_refundable-seed-2']","['local-flight-extended-non_refundable-0', 'local-flight-extended-non_refundable-1', 'local-flight-extended-non_refundable-2']"
non_refundable,recovery,3,0,3,0,0,0,0.0,0.0,0.0,3,"[0, 1, 2]","['local-flight-extended-non_refundable-seed-0', 'local-flight-extended-non_refundable-seed-1', 'local-flight-extended-non_refundable-seed-2']","['local-flight-extended-non_refundable-0', 'local-flight-extended-non_refundable-1', 'local-flight-extended-non_refundable-2']"
