fault_type,baseline_id,count,failure_count,original_success_count,recovered_count,harmful_count,abstained_count,recovery_rate,harm_rate,abstention_rate,seed_count,seeds,task_ids,run_ids
drop_action,oracle,3,3,0,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-drop_action-seed-0', 'local-flight-drop_action-seed-1', 'local-flight-drop_action-seed-2']","['local-flight-drop_action-0', 'local-flight-drop_action-1', 'local-flight-drop_action-2']"
drop_action,raw,3,3,0,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-drop_action-seed-0', 'local-flight-drop_action-seed-1', 'local-flight-drop_action-seed-2']","['local-flight-drop_action-0', 'local-flight-drop_action-1', 'local-flight-drop_action-2']"
drop_action,recovery,3,3,0,3,0,0,1.0,0.0,0.0,3,"[0, 1, 2]","['local-flight-drop_action-seed-0', 'local-flight-drop_action-seed-1', 'local-flight-drop_action-seed-2']","['local-flight-drop_action-0', 'local-flight-drop_action-1', 'local-flight-drop_action-2']"
force_error,oracle,3,3,0,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-force_error-seed-0', 'local-flight-force_error-seed-1', 'local-flight-force_error-seed-2']","['local-flight-force_error-0', 'local-flight-force_error-1', 'local-flight-force_error-2']"
force_error,raw,3,3,0,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-force_error-seed-0', 'local-flight-force_error-seed-1', 'local-flight-force_error-seed-2']","['local-flight-force_error-0', 'local-flight-force_error-1', 'local-flight-force_error-2']"
force_error,recovery,3,3,0,0,0,0,0.0,0.0,0.0,3,"[0, 1, 2]","['local-flight-force_error-seed-0', 'local-flight-force_error-seed-1', 'local-flight-force_error-seed-2']","['local-flight-force_error-0', 'local-flight-force_error-1', 'local-flight-force_error-2']"
rate_limit,oracle,3,3,0,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-rate_limit-seed-0', 'local-flight-rate_limit-seed-1', 'local-flight-rate_limit-seed-2']","['local-flight-rate_limit-0', 'local-flight-rate_limit-1', 'local-flight-rate_limit-2']"
rate_limit,raw,3,3,0,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-rate_limit-seed-0', 'local-flight-rate_limit-seed-1', 'local-flight-rate_limit-seed-2']","['local-flight-rate_limit-0', 'local-flight-rate_limit-1', 'local-flight-rate_limit-2']"
rate_limit,recovery,3,3,0,0,0,0,0.0,0.0,0.0,3,"[0, 1, 2]","['local-flight-rate_limit-seed-0', 'local-flight-rate_limit-seed-1', 'local-flight-rate_limit-seed-2']","['local-flight-rate_limit-0', 'local-flight-rate_limit-1', 'local-flight-rate_limit-2']"
replace_action,oracle,3,0,3,0,0,0,0.0,0.0,0.0,3,"[0, 1, 2]","['local-flight-replace_action-seed-0', 'local-flight-replace_action-seed-1', 'local-flight-replace_action-seed-2']","['local-flight-replace_action-0', 'local-flight-replace_action-1', 'local-flight-replace_action-2']"
replace_action,raw,3,0,3,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-replace_action-seed-0', 'local-flight-replace_action-seed-1', 'local-flight-replace_action-seed-2']","['local-flight-replace_action-0', 'local-flight-replace_action-1', 'local-flight-replace_action-2']"
replace_action,recovery,3,0,3,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-replace_action-seed-0', 'local-flight-replace_action-seed-1', 'local-flight-replace_action-seed-2']","['local-flight-replace_action-0', 'local-flight-replace_action-1', 'local-flight-replace_action-2']"
wrong_tool,oracle,3,3,0,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-wrong_tool-seed-0', 'local-flight-wrong_tool-seed-1', 'local-flight-wrong_tool-seed-2']","['local-flight-wrong_tool-0', 'local-flight-wrong_tool-1', 'local-flight-wrong_tool-2']"
wrong_tool,raw,3,3,0,0,0,3,0.0,0.0,1.0,3,"[0, 1, 2]","['local-flight-wrong_tool-seed-0', 'local-flight-wrong_tool-seed-1', 'local-flight-wrong_tool-seed-2']","['local-flight-wrong_tool-0', 'local-flight-wrong_tool-1', 'local-flight-wrong_tool-2']"
wrong_tool,recovery,3,3,0,0,0,0,0.0,0.0,0.0,3,"[0, 1, 2]","['local-flight-wrong_tool-seed-0', 'local-flight-wrong_tool-seed-1', 'local-flight-wrong_tool-seed-2']","['local-flight-wrong_tool-0', 'local-flight-wrong_tool-1', 'local-flight-wrong_tool-2']"
